id,name,address,phone,city,postcode,website_present,website_url,social_present,social_links,no_website_no_social,confidence_score,sources,last_checked_date,human_review,human_reviewer,human_review_date,notes,created_at,updated_at
1,Rubro,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908758,,,,,2025-10-26T19:49:14.222953,2025-10-30T21:16:51.910452
2,ORIGAMI by Arigato,"Lisboa, 1000-082",+351217950673,Lisboa,1000-082,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.908774,,,,,2025-10-26T19:49:14.230038,2025-10-30T21:16:51.910456
3,Entre Copos,"Rua de Entrecampos, Lisbon, 1000-151",,Lisbon,1000-151,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.908780,,,,,2025-10-26T19:49:14.230520,2025-10-30T21:16:51.910458
4,h3 Portugal,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908786,,,,,2025-10-26T19:49:14.230875,2025-10-30T21:16:51.910460
5,"Real Nepal, Avenida da República no 66, Lisbon 1050-197",,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908791,,,,,2025-10-26T19:49:14.231202,2025-10-30T21:16:51.910461
6,10 dieci,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908796,,,,,2025-10-26T19:49:14.231529,2025-10-30T21:16:51.910463
7,El Mexicano,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908801,,,,,2025-10-26T19:49:14.231829,2025-10-30T21:16:51.910465
8,Portugália,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908806,,,,,2025-10-26T19:49:14.232115,2025-10-30T21:16:51.910467
9,100 Montaditos,Campo Pequeno,,,,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.908811,,,,,2025-10-26T19:49:14.232398,2025-10-30T21:16:51.910468
10,Burger King,"Lisboa, 1000-082",,Lisboa,1000-082,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.908816,,,,,2025-10-26T19:49:14.232678,2025-10-30T21:16:51.910470
11,Wok to Walk,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908820,,,,,2025-10-26T19:49:14.232944,2025-10-30T21:16:51.910472
12,Leonidas,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908826,,,,,2025-10-26T19:49:14.233208,2025-10-30T21:16:51.910474
13,Arena Café,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908830,,,,,2025-10-26T19:49:14.233483,2025-10-30T21:16:51.910476
14,Hello Beijing,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908835,,,,,2025-10-26T19:49:14.233741,2025-10-30T21:16:51.910477
15,Sauvage,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908840,,,,,2025-10-26T19:49:14.234013,2025-10-30T21:16:51.910479
16,Idea Ramen,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908844,,,,,2025-10-26T19:49:14.234269,2025-10-30T21:16:51.910481
17,Taco Bell,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908849,,,,,2025-10-26T19:49:14.234522,2025-10-30T21:16:51.910482
18,Ba Hot Pot,14B Rua Visconde de Seabra,,,,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.908854,,,,,2025-10-26T19:49:14.234776,2025-10-30T21:16:51.910484
19,Picalho copo,6B Rua Visconde de Seabra,,,,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.908859,,,,,2025-10-26T19:49:14.235237,2025-10-30T21:16:51.910486
20,Pasteleria Londres,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908864,,,,,2025-10-26T19:49:14.235513,2025-10-30T21:16:51.910488
21,Baía do Peixe,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908869,,,,,2025-10-26T19:49:14.235772,2025-10-30T21:16:51.910489
22,TGB: The Good Burger,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908874,,,,,2025-10-26T19:49:14.236040,2025-10-30T21:16:51.910491
23,Granier,16 Avenida Júlio Dinis,,,,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.908878,,,,,2025-10-26T19:49:14.236341,2025-10-30T21:16:51.910493
24,Incheon,16 Avenida Júlio Dinis,,,,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.908883,,,,,2025-10-26T19:49:14.236852,2025-10-30T21:16:51.910494
25,A Laurentina,"71-A Avenida Conde Valbom, Lisboa",+351217960260,Lisboa,,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.908888,,,,,2025-10-26T19:49:15.115691,2025-10-30T21:16:51.910496
26,Snack Bar Gazela,"161 Avenida Elias Garcia, Lisboa",+351217968741,Lisboa,,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.908893,,,,,2025-10-26T19:49:15.117672,2025-10-30T21:16:51.910498
27,I Love Kebab,"84-A Avenida Conde Valbom, Lisboa, 1050-070",+351920076267,Lisboa,1050-070,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.908898,,,,,2025-10-26T19:49:15.118280,2025-10-30T21:16:51.910499
28,Pastelaria Tim-Tim,"113 Avenida 5 de Outubro, Lisboa, 1050",,Lisboa,1050,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.908903,,,,,2025-10-26T19:49:15.118686,2025-10-30T21:16:51.910501
29,Pastelaria Milú,"102 Avenida Elias Garcia, Lisboa, 1050-101",,Lisboa,1050-101,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.908909,,,,,2025-10-26T19:49:15.119021,2025-10-30T21:16:51.910503
30,Woknagasaki,"147 A Avenida Elias Garcia, Lisboa, 1050-099",+351 210 130 896;+351 965 205 052;+351 969 127 250,Lisboa,1050-099,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.908914,,,,,2025-10-26T19:49:15.119334,2025-10-30T21:16:51.910504
31,Jaguar,,,,,False,,False,,True,0.5,OpenStreetMap,2025-10-30T21:16:51.908919,,,,,2025-10-26T19:49:15.119683,2025-10-30T21:16:51.910506
32,Casa Nepalesa,"172 Avenida Elias Garcia, Lisboa, 1050-103",+351217979797,Lisboa,1050-103,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.908923,,,,,2025-10-26T19:49:15.120209,2025-10-30T21:16:51.910508
33,O Padeiro,"137 Avenida Elias Garcia, Lisboa, 1050-053",+351910167673; +351962318962,Lisboa,1050-053,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.908928,,,,,2025-10-26T19:49:15.120598,2025-10-30T21:16:51.910509
34,Salsa Rosa Bistro,"66 A Avenida Visconde de Valmor, Lisboa, 1050-242",+351218080229,Lisboa,1050-242,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.908933,,,,,2025-10-26T19:49:15.120923,2025-10-30T21:16:51.910511
35,Tendinha Arganilense,"84-B Avenida Conde Valbom, Lisboa, 1050-070",+351217937024,Lisboa,1050-070,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.908967,,,,,2025-10-26T19:49:15.121231,2025-10-30T21:16:51.910513
36,Miyagi Sushi,"111 Avenida Conde de Valbom, Lisboa, 1050-067",+351966614111,Lisboa,1050-067,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.908973,,,,,2025-10-26T19:49:15.121531,2025-10-30T21:16:51.910514
37,Valbom,104-112 Avenida Conde Valbom,+351217970410,,,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.908978,,,,,2025-10-26T19:49:15.121821,2025-10-30T21:16:51.910516
38,A Ladeira,"33-B Avenida Marquês de Tomar, 1050-053",+351217972520,,1050-053,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.908983,,,,,2025-10-26T19:49:15.122116,2025-10-30T21:16:51.910518
39,Sushi Santos,107C Avenida Barbosa du Bocage,,,,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.908988,,,,,2025-10-26T19:49:15.122409,2025-10-30T21:16:51.910519
40,Lateral Bistro,"107A Av. Barbosa Du Bocage, Lisboa, 1050-031",,Lisboa,1050-031,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.908993,,,,,2025-10-26T19:49:15.122691,2025-10-30T21:16:51.910521
41,Zahir Kebab,"25D Avenida Marquês de Tomar, Lisboa, 1050-053",,Lisboa,1050-053,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.908998,,,,,2025-10-26T19:49:15.123002,2025-10-30T21:16:51.910523
42,Joker Lounge Saldanha,"44B Avenida Marquês de Tomar, Lisboa, 1050-053",,Lisboa,1050-053,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.909002,,,,,2025-10-26T19:49:15.123285,2025-10-30T21:16:51.910524
43,Pastelaria/Restaurante Manon,70 Avenida Marquês de Tomar,,,,False,,False,,True,0.6,OpenStreetMap,2025-10-30T21:16:51.909007,,,,,2025-10-26T19:49:15.123574,2025-10-30T21:16:51.910526
44,Ararate,70;72;74 Avenida Conde Valbom,925 451 509,,,False,,False,,True,0.7,OpenStreetMap,2025-10-30T21:16:51.909012,,,,,2025-10-26T19:49:15.123880,2025-10-30T21:16:51.910528
